Plot_ID,Gardener_Name,Garden_Site,Years_Gardening,Grows_Organic
G01,Priya Nair,Riverside Community Garden,7,Yes
G02,Marcus Bell,Riverside Community Garden,9,Yes
G03,Fatima Haddad,Riverside Community Garden,3,No
G04,Owen Shea,Hilltop Community Garden,3,Yes
G05,Grace Kim,Riverside Community Garden,10,Yes
G06,Diego Ramos,Hilltop Community Garden,10,Yes
G07,Ingrid Voss,Riverside Community Garden,8,Yes
G08,Samuel Otieno,Riverside Community Garden,7,Yes
G09,Lena Kowalski,Riverside Community Garden,11,Yes
G10,Theo Park,Hilltop Community Garden,5,No
G11,Aaliyah Brooks,Riverside Community Garden,9,Yes
G12,Noah Feldman,Hilltop Community Garden,2,No
G13,Rosa Delgado,Hilltop Community Garden,2,No
G14,Wei Chen,Riverside Community Garden,10,No
G15,Hannah Mercer,Riverside Community Garden,11,Yes
G16,Jamal Green,Riverside Community Garden,6,Yes
G19,Beatriz Nunes,Hilltop Community Garden,10,No
G20,Colin Ashworth,Hilltop Community Garden,10,Yes
