Plot_ID,Gardener,Crops,Week1_lbs,Week2_lbs,Week3_lbs,Week4_lbs,Week5_lbs,Week6_lbs
G01,Priya Nair,"lettuce, squash",3.1,5.8,11.2,6.8,7.1,3.2
G02,Marcus Bell,"sweet corn, peppers",5.5,7.4,13.0,9.3,7.2,5.3
G03,Fatima Haddad,"squash, peppers",7.0,9.4,15.8,13.8,6.9,0.5
G04,Owen Shea,"cucumbers, lettuce",1.4,4.5,7.4,7.0,3.5,2.9
G05,Grace Kim,"kale, basil, carrots",3.1,3.8,9.9,9.7,4.8,3.9
G06,Diego Ramos,"sweet corn, green beans",4.2,6.3,10.1,8.0,5.3,5.3
G07,Ingrid Voss,"cucumbers, peppers, squash",4.7,7.7,15.4,10.0,10.0,4.9
G08,Samuel Otieno,"basil, lettuce, kale",4.1,6.7,9.2,8.8,4.7,2.4
G09,Lena Kowalski,"carrots, cucumbers",3.9,5.9,12.6,9.1,7.4,4.9
G10,Theo Park,"green beans, peppers",5.8,8.1,9.3,11.7,9.4,3.8
G11,Aaliyah Brooks,"sweet corn, lettuce",5.5,6.7,13.4,6.7,5.9,3.9
G12,Noah Feldman,"peppers, kale, lettuce",5.4,9.1,14.9,8.6,10.5,4.8
G13,Rosa Delgado,"lettuce, tomatoes, squash",2.9,10.6,11.5,12.0,8.7,5.0
G14,Wei Chen,"tomatoes, kale",4.3,9.2,10.4,10.9,5.1,5.0
G15,Hannah Mercer,"peppers, basil",2.5,4.0,4.9,6.5,4.6,1.5
G16,Jamal Green,"cucumbers, kale",2.1,4.2,5.8,5.1,2.3,1.9
G17,Sofia Ricci,"lettuce, basil, kale",1.9,6.2,8.9,5.2,4.3,3.5
G18,Elijah Combs,"kale, carrots, tomatoes",5.0,8.2,11.1,7.8,5.4,4.8
